Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations,Number of Atoms,Molecular Formula,Number of Bonds,Number of Rings,Topological Polar Surface Area,Rotatable Bonds,Number of Heavy Atoms,Number of Aromatic Rings,Number of Saturated Rings,Number of Aliphatic Rings,Number of Bridge Head Atoms,Percent of sp^3 Hybridization,Surface Area,Max Partial Charge,Hall Kier Alpha
1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol,2585,406.482,3,5,3.738,True,None,30,C24H26N2O4,33,4,75.74,10,30,4,0,0,0,0.25,174.93537112,0.49287002,-3.22
"cis-(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol",33741,263.381,1,3,2.6346,True,None,19,C16H25NO2,20,2,32.7,4,19,1,1,1,0,0.625,115.74260576,0.49675604,-1.06
"8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine",2118,308.772,0,4,3.58012,True,None,22,C17H13ClN4,25,4,43.07,1,22,3,0,1,0,0.11764705882352941,132.66005687,0.28096198,-2.46
2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]ethanol,3658,374.912,1,4,3.0559,True,None,26,C21H27ClN2O2,28,3,35.94,8,26,2,1,1,0,0.42857142857142855,160.49785775,0.39398033,-1.43
"8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione",2477,385.512,0,6,2.0882,True,None,28,C21H31N5O2,31,4,69.64000000000001,6,28,1,3,3,0,0.7142857142857143,166.65976678,0.33826073,-2.02
"methyl (2S)-2-(2-chlorophenyl)-2-(6,7-dihydro-4H-thieno[3,2-c]pyridin-5-yl)acetate",60606,321.829,0,4,3.6739,True,None,21,C16H16ClNO2S,23,3,29.54,3,21,2,0,1,0,0.3125,132.65084936,0.46758617,-1.36
N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,3478,445.545,3,6,2.07812,True,None,31,C21H27N5O4S,33,3,130.15,7,31,2,1,1,0,0.42857142857142855,181.66973204,0.3503178,-3.01
1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile,2771,324.399,0,3,3.81298,True,None,24,C20H21FN2O,26,3,36.26,5,24,2,0,1,0,0.35,141.83369707,0.36083985,-2.22
potassium chloride,4873,74.551,0,0,-5.992,True,None,2,ClK,0,0,0.0,0,2,0,0,0,0,0.0,62.44413571,1.0,1.92636364
"1,2-dihydropyrazolo[3,4-d]pyrimidin-4-one",2094,136.114,2,3,-0.4022,True,None,10,C5H4N4O,11,2,74.43,0,10,0,0,2,0,0.0,55.46560224,0.30596254,-1.65
"2-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",2917,543.375,9,16,-4.7769,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),36,C17H26N3O15P,38,3,293.81,9,36,1,2,2,0,0.7058823529411765,200.83385226,0.47724617,-2.06
"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",5280793,396.659,1,1,7.641,False,Octanol-water partition coefficient (LogP) > 5),29,C28H44O,31,3,20.23,5,29,0,3,3,0,0.7142857142857143,179.61101628,0.39277279,-1.08
"(4R,4aS,7aR,12bS)-4a-hydroxy-9-methoxy-3-methyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",5284603,315.369,1,5,1.0482,True,None,23,C18H21NO4,27,5,59.0,1,23,1,2,4,2,0.6111111111111112,134.73006386,0.49285712,-1.59
methyl 2-phenyl-2-piperidin-2-ylacetate,4158,233.311,1,3,2.0853,True,None,17,C14H19NO2,18,2,38.33,3,17,1,1,1,0,0.5,102.17003839,0.46850298,-1.35
1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol,5656,277.408,1,3,3.0356,True,None,20,C17H27NO2,21,2,32.7,5,20,1,1,1,0,0.6470588235294118,122.10754788,0.49676822,-1.06
2-[3-[(4-bromo-2-fluorophenyl)methyl]-4-oxophthalazin-1-yl]acetic acid,5278,391.196,1,4,2.9735,True,None,24,C17H12BrFN2O3,26,3,72.19,4,24,3,0,0,0,0.11764705882352941,144.03307018,0.48094305,-2.54
"9-methyl-3-[(2-methylimidazol-1-yl)methyl]-2,3-dihydro-1H-carbazol-4-one",4595,293.37,0,4,3.12852,True,None,22,C18H19N3O,25,4,39.82,2,22,3,0,1,0,0.3333333333333333,128.9383594,0.34691747,-2.36
"N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetamide",5732,307.397,0,3,3.24884,True,None,23,C19H21N3O,25,3,37.61000000000001,3,23,3,0,0,0,0.2631578947368421,135.93731416,0.34848476,-2.62
2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]acetic acid,2678,388.895,1,4,3.1482,True,None,27,C21H25ClN2O3,29,3,53.010000000000005,8,27,2,1,1,0,0.38095238095238093,164.65937985,0.47953367,-1.92
