Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations
2-(2-chloro-5-oxofuran-2-yl)acetic acid,35,176.555,1,3,0.5092,True,None
2-hydroxy-3-propan-2-ylbutanedioic acid,36,176.168,3,3,-0.2113,True,None
"4,5,6-trihydroxy-2-oxohexanoic acid",37,178.14,4,5,-2.2557,True,None
"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid",38,146.142,2,3,-0.3414,True,None
"4,4-dimethyloxolane-2,3-dione",39,128.127,0,3,0.1385,True,None
"6-(hydroxymethyl)oxane-2,4,5-triol",40,164.157,4,5,-2.1922,True,None
(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate,41,242.189,3,5,0.8173,True,None
"2-hydroxy-6-oxonona-2,4-dienedioic acid",42,214.173,3,4,0.503,True,None
2-hydroxypentanedioic acid,43,148.114,3,3,-0.7033,True,None
2-hydroxypropanedioate,44,118.044,1,5,-4.1529,True,None
2-hydroxypropanedioic acid,45,120.06,3,3,-1.4835,True,None
"4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid",46,258.119,5,6,-2.1387,True,None
3-methyl-2-oxopentanoic acid,47,130.143,1,2,0.6862,True,None
"5-amino-2,5-dioxopentanoic acid",48,145.114,2,3,-1.0944,True,None
3-methyl-2-oxobutanoic acid,49,116.116,1,2,0.2961,True,None
"3,4,5,6-tetrahydroxy-2-oxohexanoic acid",50,194.139,5,6,-3.2849,True,None
2-oxopentanedioic acid,51,146.098,2,3,-0.4951,True,None
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate",52,867.658,10,20,-1.3184,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate",53,865.642,9,20,-1.1102,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate",54,851.659,9,19,-0.2892,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol",55,655.064,2,2,14.692,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5)
"2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol",56,655.064,1,2,14.6049,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5)
"2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol",57,639.065,1,1,14.9864,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5)
2-oxobutanoic acid,58,102.089,1,2,0.0501,True,None
3-hydroxy-2-phosphonooxypropanoic acid,59,186.056,4,4,-1.4588,True,None
"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate",60,601.288,9,16,-3.0835,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2,3-diphosphonooxypropanoic acid",61,266.035,5,5,-1.3418,True,None
"2,4,5-trichlorocyclohexa-2,5-dien-1-ol",62,199.464,1,1,2.2137,True,None
"2,4-diaminopentanoic acid",63,132.163,3,3,-0.8644,True,None
"2,5-dichlorocyclohexa-2,5-diene-1,4-diol",64,181.018,2,2,0.9672,True,None
"2,5-dichlorobenzene-1,4-diol",65,179.002,2,2,2.4046,True,None
"2,5-dichlorophenol",66,163.003,1,1,2.699,True,None
"3,4,6-trihydroxy-2,5-dioxohexanoic acid",67,192.123,4,6,-3.0767,True,None
"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol",68,278.09,4,7,-0.6375,True,None
"2-hydroxy-6-oxohepta-2,4-dienoic acid",69,156.137,2,3,0.6581,True,None
4-methyl-2-oxopentanoic acid,70,130.143,1,2,0.6862,True,None
2-oxohexanedioic acid,71,160.125,2,3,-0.105,True,None
"3,4-dihydroxybenzoic acid",72,154.121,3,3,0.796,True,None
[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate,73,427.203,6,11,-1.746,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate",74,851.615,9,20,-1.3562,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
3-aminopropanal,75,73.095,1,2,-0.4659,True,None
"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",76,288.431,1,2,3.8792,True,None
2-hydroxy-2-propan-2-ylbutanedioic acid,77,176.168,3,3,-0.0672,True,None
2-amino-3-chloropropanoic acid,78,123.539,2,2,-0.3629,True,None
pyridine-3-carbonitrile,79,104.112,0,2,0.95328,True,None
"4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid",80,172.136,3,4,-1.308,True,None
"4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid",81,288.145,6,7,-2.7778,False,Hydrogen bond donors > 5)
5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid,82,324.178,5,6,-0.7766,True,None
3-hydroxyphosphonoyl-2-oxopropanoic acid,83,152.042,2,3,-0.8929,True,None
"5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid",84,911.667,11,21,-1.7195,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
(3-carboxy-2-hydroxypropyl)-trimethylazanium,85,162.209,2,2,-0.4718,True,None
2-amino-3-hydroxybenzoic acid,86,153.137,3,3,0.6726,True,None
3-hydroxy-2-methylpropanoic acid,87,104.105,2,2,-0.3006,True,None
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate",88,853.631,10,20,-1.7069,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,89,224.216,4,5,-0.0409,True,None
"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid",90,911.667,11,21,-1.7195,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
3-(3-hydroxyphenyl)propanoic acid,91,166.176,2,2,1.4094,True,None
3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol,92,340.423,2,5,2.2881,True,None
3-oxohexanedioic acid,93,160.125,2,3,-0.105,True,None
"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid",94,909.651,10,21,-1.5113,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2,4,5,6-tetrahydroxy-3-oxohexanoic acid",95,194.139,5,6,-3.2849,True,None
3-oxobutanoic acid,96,102.089,1,2,0.0501,True,None
"3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one",97,340.281,7,11,-5.189,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
2-oxo-3-sulfanylpropanoic acid,98,120.129,2,3,-0.4301,True,None
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbut-2-enethioate",99,849.643,9,19,-0.3691,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid",100,683.074,2,2,14.6846,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5)
3-hydroxybenzaldehyde,101,122.123,1,2,1.2047,True,None
3-(hydroxymethyl)phenol,102,124.139,2,2,0.8845,True,None
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(7,12-dihydroxy-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanethioate",103,1156.089,11,22,2.2506,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
2-(2-oxo-3H-furan-5-yl)acetic acid,104,142.11,1,3,0.2919,True,None
2-oxo-3-phosphonooxypropanoic acid,105,184.04,3,4,-1.2506,True,None
2-amino-3-phosphonooxypropanoic acid,106,185.072,4,4,-1.4924,True,None
3-phenylpropanoic acid,107,150.177,1,1,1.7038,True,None
2-pyridin-3-ylacetic acid,108,137.138,1,2,0.7087,True,None
2-amino-3-sulfinopropanoic acid,109,153.159,3,3,-1.38,True,None
2-oxo-3-sulfinopropanoic acid,110,152.127,2,3,-1.1382,True,None
3-(carbamoylamino)propanoic acid,111,132.119,3,2,-0.8706,True,None
3-hydroxy-2-oxo-4-phosphonooxybutanoate,112,213.058,3,6,-3.2244,True,None
3-hydroxy-2-oxo-4-phosphonooxybutanoic acid,113,214.066,4,5,-1.8897,True,None
4-pyridin-3-ylbutanoic acid,114,165.192,1,2,1.4889,True,None
"(5-amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate",115,229.125,5,6,-2.4989,True,None
"4-amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid",116,225.2,3,4,-0.122,True,None
4-amino-1H-imidazole-5-carboxylic acid,117,127.103,3,3,-0.3099,True,None
4-aminobutanal,118,87.122,1,2,-0.0758,True,None
4-aminobutanoic acid,119,103.121,2,2,-0.1901,True,None
2-(5-oxofuran-2-ylidene)acetic acid,120,140.094,1,3,0.0679,True,None
"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,3,4-trihydroxy-3-methylbutyl) hydrogen phosphate",121,521.309,8,15,-3.2005,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"4,6-dioxooct-2-enedioic acid",122,200.146,2,4,-0.3698,True,None
4-(diaminomethylideneamino)butanamide,123,144.178,3,2,-1.4747,True,None
4-hydroxy-2-oxopentanoic acid,124,132.115,2,3,-0.589,True,None
4-(hydroxymethyl)phenol,125,124.139,2,2,0.8845,True,None
4-hydroxybenzaldehyde,126,122.123,1,2,1.2047,True,None
2-(4-hydroxyphenyl)acetic acid,127,152.149,2,2,1.0193,True,None
"3-(5-oxo-1,4-dihydroimidazol-4-yl)propanoic acid",128,156.141,2,3,-0.6221,True,None
4-methylpentanal,129,100.161,0,1,1.6215,True,None
"2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid",130,220.133,4,5,-1.6794,True,None
"3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid",131,299.216,5,5,-0.9263,True,None
"2-[3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid",132,402.362,7,7,-1.5117,False,Hydrogen bond donors > 5)
trimethyl(4-oxobutyl)azanium,133,130.211,0,1,0.6717,True,None
3-carboxypropyl(trimethyl)azanium,134,146.21,1,1,0.5574,True,None
4-hydroxybenzoic acid,135,138.122,2,2,1.0904,True,None
"2-[[4-(3-amino-1-oxo-5,6,6a,7-tetrahydro-4H-imidazo[1,5-f]pteridin-10-ium-8-yl)benzoyl]amino]pentanedioic acid",136,456.439,6,8,-0.6135,False,Hydrogen bond donors > 5)
5-amino-4-oxopentanoic acid,137,131.131,2,3,-0.621,True,None
5-aminopentanoic acid,138,117.148,2,2,0.2,True,None
"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol",139,420.678,3,3,5.4102,False,Octanol-water partition coefficient (LogP) > 5)
"17-(7-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol",140,436.677,4,4,4.3826,True,None
"(3,4-dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate",141,534.26,7,15,-3.9464,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol",142,251.246,3,8,-0.9524,True,None
"2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",143,473.446,7,9,-0.7311,False,Hydrogen bond donors > 5)
2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid,144,220.228,4,3,0.8279,True,None
"2,3-dihydroxy-5-oxohexanedioic acid",145,192.123,4,5,-2.1634,True,None
"2-[[4-[(2-amino-5-methyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",146,459.463,7,9,-0.2577,False,Hydrogen bond donors > 5)
"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(methylaminomethyl)-2-selanylpyrimidin-4-one",147,350.233,4,8,-3.8997,True,None
"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(methylaminomethyl)-2-sulfanylpyrimidin-4-one",148,303.34,5,9,-2.1371,True,None
"2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",149,297.34,3,9,-0.6093,True,None
"(5-amino-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate",150,229.125,5,6,-2.4989,True,None
"[5-[(2-formamidoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",151,314.187,6,7,-3.5954,False,Hydrogen bond donors > 5)
"[5-[(2-aminoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",152,286.177,6,7,-3.3827,False,Hydrogen bond donors > 5)
"[5-(5-aminoimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",153,295.188,5,8,-1.8062,True,None
"[5-[(1-amino-2-formamidoethylidene)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",154,313.203,6,7,-3.3544,False,Hydrogen bond donors > 5)
4-(carbamoylamino)-1H-imidazole-5-carboxylic acid,155,170.128,4,3,-0.4015,True,None
"5,6,7,8-tetrahydropteridine",156,136.158,2,4,0.314,True,None
"2,3,4,6-tetrahydroxy-5-oxohexanoic acid",157,194.139,5,6,-3.2849,True,None
7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid,158,352.471,3,4,3.2511,True,None
"5-[5-hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid",159,352.471,3,4,3.4085,True,None
"7-[3,5-dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid",160,354.487,4,4,3.0429,True,None
"[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate",161,497.187,9,13,-3.7651,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",162,216.262,2,4,-0.5394,True,None
"7-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-7-oxoheptanoic acid",163,909.695,10,20,-0.3002,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
2-amino-6-diazo-5-oxohexanoic acid,164,171.156,2,3,-0.9518,True,None
"5-amino-2,6-dihydroxy-6-oxohex-1-ene-1-diazonium",165,172.164,3,4,0.43098,True,None
"1-(2-amino-4-oxo-4a,5,6,7,8,8a-hexahydro-3H-pteridin-6-yl)propane-1,2-dione",166,239.235,4,7,-3.1549,True,None
"6,7-dihydropteridine",167,134.142,0,4,-1.2706,True,None
"[3,4,5-trihydroxy-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methyl dihydrogen phosphate",168,422.276,9,12,-5.2802,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid",169,336.472,3,3,4.1583,True,None
"4-[(2-amino-4-oxo-7,8-dihydro-1H-pteridin-6-yl)methylamino]benzoic acid",170,314.305,5,7,0.6604,True,None
"2-amino-5-(aminomethyl)-1,7-dihydropyrrolo[2,3-d]pyrimidin-4-one",171,179.183,4,4,-0.7079,True,None
"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",172,384.648,1,1,7.3088,False,Octanol-water partition coefficient (LogP) > 5)
8-amino-7-oxononanoic acid,173,187.239,2,3,0.9378,True,None
"ethane-1,2-diol",174,62.068,2,2,-1.029,True,None
acetate,175,59.044,0,2,-1.2438,True,None
acetic acid,176,60.052,1,1,0.0909,True,None
acetaldehyde,177,44.053,0,1,0.2052,True,None
acetamide,178,59.068,1,1,-0.5084,True,None
3-hydroxybutan-2-one,179,88.106,1,2,-0.0438,True,None
propan-2-one,180,58.08,0,1,0.5953,True,None
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate",181,809.578,9,19,-1.3154,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate",182,1130.476,6,10,16.4119,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Octanol-water partition coefficient (LogP) > 5)
"[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate",183,1333.67,9,15,14.3799,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5)
"4-[[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]amino]-2-amino-4-oxobutanoic acid",184,335.313,7,8,-4.1517,False,Hydrogen bond donors > 5)
2-acetamidopentanedioic acid,185,189.167,3,3,-0.5595,True,None
phosphono acetate,186,140.031,2,3,-0.3578,True,None
2-acetyloxyethyl(trimethyl)azanium,187,146.21,0,2,0.2557,True,None
"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate",188,384.334,7,12,-4.8264,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
3-acetyloxy-2-aminopropanoic acid,189,147.13,2,4,-1.0386,True,None
7H-purin-6-amine,190,135.13,2,4,-0.0649,True,None
"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",191,267.245,4,9,-1.98,True,None
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (3,4,5-trihydroxyoxolan-2-yl)methyl hydrogen phosphate",192,559.318,8,17,-3.2827,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"2-amino-4-[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid",193,384.418,5,11,-1.4371,False,Hydrogen bond acceptors > 10)
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate",194,836.391,10,25,-2.4464,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
